鄉鎮市區,交易標的,土地移轉總面積平方公尺,移轉層次,總樓層數,建物型態,主要用途,主要建材,建物移轉總面積平方公尺,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積.平方公尺.,車位總價元,主建物面積,附屬建物面積,陽台面積,電梯
永康區,建物,0.0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,79.59,3,2,1,1,無,650000,8167,,0.0,0,66.2,0.0,4.01,0
永康區,土地,353.43,,,其他,,,0.0,0,0,0,1,無,6538455,18500,,0.0,0,0.0,0.0,0.0,0
玉井區,土地,214.27,,,其他,,,0.0,0,0,0,1,無,3000000,14001,,0.0,0,0.0,0.0,0.0,0
仁德區,房地(土地+建物),5.02,二層,四層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,14.15,1,0,1,1,有,550000,38869,,0.0,0,5.23,0.9,1.91,1
關廟區,土地,6.5,,,其他,,,0.0,0,0,0,1,無,56550,8700,,0.0,0,0.0,0.0,0.0,0
仁德區,土地,72.35,,,其他,,,0.0,0,0,0,1,無,2385000,32965,,0.0,0,0.0,0.0,0.0,0
學甲區,土地,3053.54,,,其他,,,0.0,0,0,0,1,無,1500000,491,,0.0,0,0.0,0.0,0.0,0
善化區,土地,52.77,,,其他,,,0.0,0,0,0,1,無,1501257,28449,,0.0,0,0.0,0.0,0.0,0
學甲區,房地(土地+建物),8.0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,36.88,1,0,1,1,無,750000,20336,,0.0,0,25.84,0.0,2.16,1
中西區,土地,13.74,,,其他,,,0.0,0,0,0,1,無,1050000,76419,,0.0,0,0.0,0.0,0.0,0
鹽水區,土地,2616.0,,,其他,,,0.0,0,0,0,1,無,2500000,956,,0.0,0,0.0,0.0,0.0,0
柳營區,土地,1003.0,,,其他,,,0.0,0,0,0,1,無,1500000,1496,,0.0,0,0.0,0.0,0.0,0
東區,房地(土地+建物),4.67,一層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,18.56,1,0,1,1,無,850000,45797,,0.0,0,13.2,0.0,0.0,1
新營區,房地(土地+建物),5.33,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,41.97,1,1,1,1,有,1150000,27401,,0.0,0,30.16,0.0,0.0,1
北區,土地,1602.69,,,其他,,,0.0,0,0,0,1,無,81562547,50891,,0.0,0,0.0,0.0,0.0,0
安平區,房地(土地+建物),3.18,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,37.19,1,0,1,1,有,1500000,40333,,0.0,0,25.35,0.0,3.36,1
北區,土地,1.96,,,其他,,,0.0,0,0,0,1,無,100000,51020,,0.0,0,0.0,0.0,0.0,0
中西區,土地,81.0,,,其他,,,0.0,0,0,0,1,無,13476375,166375,,0.0,0,0.0,0.0,0.0,0
安平區,車位,0.8,一層,八層,其他,警衛室,鋼筋混凝土造,59.18,0,0,0,1,有,950000,,坡道平面,0.0,950000,0.0,0.0,0.0,1
後壁區,土地,285.38,,,其他,,,0.0,0,0,0,1,無,2895000,10144,,0.0,0,0.0,0.0,0.0,0
後壁區,土地,1108.0,,,其他,,,0.0,0,0,0,1,無,853160,770,,0.0,0,0.0,0.0,0.0,0
麻豆區,土地,156.25,,,其他,,,0.0,0,0,0,1,無,472485,3024,,0.0,0,0.0,0.0,0.0,0
麻豆區,土地,104.65,,,其他,,,0.0,0,0,0,1,無,427515,4085,,0.0,0,0.0,0.0,0.0,0
永康區,房地(土地+建物)+車位,19.65,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,123.82,3,1,2,1,有,4180000,33759,坡道機械,0.0,0,73.88,1.3,12.48,1
永康區,土地,5.0,,,其他,,,0.0,0,0,0,1,無,75250,15050,,0.0,0,0.0,0.0,0.0,0
新營區,建物,0.0,二層，三層，騎樓，見其他登記事項,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,268.37,5,2,4,1,無,10000000,37262,,0.0,0,256.9,0.0,11.47,0
東區,車位,0.0,,,其他,,,9.83,0,0,0,1,有,350000,,坡道機械,9.82,350000,0.0,0.0,0.0,1
安平區,土地,163.67,,,其他,,,0.0,0,0,0,1,無,2972300,18160,,0.0,0,0.0,0.0,0.0,0
中西區,房地(土地+建物),30.54,地下層,十層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,309.63,0,0,0,0,有,4500000,14533,,0.0,0,260.92,0.0,0.0,1
安南區,房地(土地+建物),213.33,全,一層,透天厝,住家用,加強磚造,45.15,3,1,1,1,無,2265000,50166,,0.0,0,45.15,0.0,0.0,0
安南區,土地,125.11,,,其他,,,0.0,0,0,0,1,無,3784577,30250,,0.0,0,0.0,0.0,0.0,0
安南區,土地,10.71,,,其他,,,0.0,0,0,0,1,無,161423,15072,,0.0,0,0.0,0.0,0.0,0
永康區,土地,29.06,,,其他,,,0.0,0,0,0,1,無,900000,30970,,0.0,0,0.0,0.0,0.0,0
永康區,房地(土地+建物),10.86,二十層,二十四層,住宅大樓(11層含以上有電梯),辦公用,鋼骨造,165.62,0,0,0,0,有,12050000,72757,,0.0,0,118.65,0.0,0.0,1
永康區,土地,5056.38,,,其他,,,0.0,0,0,0,1,無,147613648,29194,,0.0,0,0.0,0.0,0.0,0
龍崎區,土地,1044.0,,,其他,,,0.0,0,0,0,1,無,250000,239,,0.0,0,0.0,0.0,0.0,0
仁德區,房地(土地+建物),4.83,二層,四層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,13.63,1,0,1,1,有,620000,45488,,0.0,0,7.14,0.9,0.0,1
仁德區,房地(土地+建物),7.21,二層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,82.72,2,1,1,1,有,4500000,54400,,0.0,0,50.01,0.0,4.56,1
仁德區,土地,80.81,,,其他,,,0.0,0,0,0,1,無,1589250,19667,,0.0,0,0.0,0.0,0.0,0
仁德區,土地,5.44,,,其他,,,0.0,0,0,0,1,無,54835,10080,,0.0,0,0.0,0.0,0.0,0
北門區,土地,29.36,,,其他,,,0.0,0,0,0,1,無,110000,3747,,0.0,0,0.0,0.0,0.0,0
安定區,土地,2.33,,,其他,,,0.0,0,0,0,1,無,29760,12773,,0.0,0,0.0,0.0,0.0,0
仁德區,土地,52.82,,,其他,,,0.0,0,0,0,1,無,1330403,25187,,0.0,0,0.0,0.0,0.0,0
新營區,土地,158.0,,,其他,,,0.0,0,0,0,1,無,2200000,13924,,0.0,0,0.0,0.0,0.0,0
善化區,房地(土地+建物)+車位,22.47,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,118.03,2,2,1,1,有,5600000,47446,坡道平面,26.64,0,51.55,1.85,3.26,1
麻豆區,土地,179.0,,,其他,,,0.0,0,0,0,1,無,345000,1927,,0.0,0,0.0,0.0,0.0,0
六甲區,土地,1619.0,,,其他,,,0.0,0,0,0,1,無,2752300,1700,,0.0,0,0.0,0.0,0.0,0
將軍區,土地,31.2,,,其他,,,0.0,0,0,0,1,無,100000,3205,,0.0,0,0.0,0.0,0.0,0
東山區,房地(土地+建物),137.97,全,三層,透天厝,住家用,鋼筋混凝土造,149.17,4,2,2,1,無,4850000,32513,,0.0,0,149.17,0.0,0.0,0
北區,土地,19.5,,,其他,,,0.0,0,0,0,1,無,4200000,215385,,0.0,0,0.0,0.0,0.0,0
北區,土地,27.06,,,其他,,,0.0,0,0,0,1,無,2210468,81688,,0.0,0,0.0,0.0,0.0,0
新營區,土地,2118.73,,,其他,,,0.0,0,0,0,1,無,11535111,5444,,0.0,0,0.0,0.0,0.0,0
新營區,土地,40.56,,,其他,,,0.0,0,0,0,1,無,500000,12327,,0.0,0,0.0,0.0,0.0,0
東區,房地(土地+建物),6.86,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,70.61,2,2,1,1,有,3600000,50984,,0.0,0,28.56,0.0,6.25,1
東區,房地(土地+建物),88.0,全,三層,透天厝,住家用,鋼筋混凝土造,176.24,5,2,3,1,無,17000000,96459,,0.0,0,160.3,0.0,15.94,0
東區,房地(土地+建物),3.46,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,23.47,1,0,1,1,有,690000,29399,,0.0,0,14.39,0.0,0.0,1
安南區,土地,18.34,,,其他,,,0.0,0,0,0,1,無,336000,18321,,0.0,0,0.0,0.0,0.0,0
安南區,土地,11.4,,,其他,,,0.0,0,0,0,1,無,370000,32456,,0.0,0,0.0,0.0,0.0,0
安南區,土地,13.58,,,其他,,,0.0,0,0,0,1,無,270000,19882,,0.0,0,0.0,0.0,0.0,0
安南區,房地(土地+建物),23.81,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,34.9,3,2,2,1,無,500000,14327,,0.0,0,27.41,0.0,3.81,0
安南區,土地,119.46,,,其他,,,0.0,0,0,0,1,無,4697810,39325,,0.0,0,0.0,0.0,0.0,0
安南區,土地,151.31,,,其他,,,0.0,0,0,0,1,無,860667,5688,,0.0,0,0.0,0.0,0.0,0
南區,土地,46.69,,,其他,,,0.0,0,0,0,1,無,1030000,22060,,0.0,0,0.0,0.0,0.0,0
東區,土地,26.0,,,其他,,,0.0,0,0,0,1,無,1376000,52923,,0.0,0,0.0,0.0,0.0,0
柳營區,土地,265.17,,,其他,,,0.0,0,0,0,1,無,530000,1999,,0.0,0,0.0,0.0,0.0,0
新營區,土地,315.0,,,其他,,,0.0,0,0,0,1,無,5008000,15898,,0.0,0,0.0,0.0,0.0,0
中西區,土地,21.51,,,其他,,,0.0,0,0,0,1,無,680000,31613,,0.0,0,0.0,0.0,0.0,0
