鄉鎮市區,交易標的,土地移轉總面積平方公尺,移轉層次,總樓層數,建物型態,主要用途,主要建材,建物移轉總面積平方公尺,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積.平方公尺.,車位總價元,主建物面積,附屬建物面積,陽台面積,電梯
北投區,房地(土地+建物),6.12,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,37.86,0,0,0,0,有,4680000,123613,,0.0,0,18.03,1.11,4.76,1
信義區,車位,3.28,地下二層,七層,其他,防空避難室兼停車場,鋼筋混凝土造,19.13,0,0,0,1,無,850000,,其他,0.0,0,0.0,0.0,0.0,1
中正區,房地(土地+建物)+車位,15.27,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,89.48,1,1,1,1,有,14640000,163612,其他,32.84,0,27.23,1.46,6.56,1
萬華區,房地(土地+建物),27.5,三層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,93.65,3,1,1,1,無,5200000,55526,,0.0,0,93.65,0.0,0.0,0
中山區,房地(土地+建物),20.0,一層,三層,公寓(5樓含以下無電梯),,加強磚造,52.14,1,1,1,1,無,14500000,278097,,0.0,0,52.14,0.0,0.0,0
信義區,車位,0.45,地下二層，地下三層，地下四層,十一層,其他,停車空間,鋼筋混凝土造,38.68,0,0,0,1,有,3200000,,坡道平面,38.67,3200000,0.0,0.0,0.0,1
信義區,車位,0.39,一層，地下一層，地下二層,十一層,其他,停車空間,鋼筋混凝土造,6.32,0,0,0,1,有,750000,,塔式車位,0.0,750000,0.0,0.0,0.0,1
士林區,房地(土地+建物),29.23,一層,五層,公寓(5樓含以下無電梯),其他,鋼筋混凝土造,103.39,0,1,1,1,無,27700000,267918,,0.0,0,96.6,6.79,0.0,0
萬華區,房地(土地+建物),40.0,一層，騎樓，通道,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,187.23,0,0,0,0,無,56000000,299097,,0.0,0,187.23,0.0,0.0,0
文山區,房地(土地+建物),0.49,二層,十三層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,4.35,0,0,0,0,有,395000,90805,,0.0,0,1.15,0.0,0.0,1
內湖區,土地,26.89,,,其他,,,0.0,0,0,0,1,無,6000000,223131,,0.0,0,0.0,0.0,0.0,0
大安區,車位,0.15,一層,七層,其他,一般事務所,鋼筋混凝土造,16.9,0,0,0,1,有,2020000,,塔式車位,16.9,2020000,0.0,0.0,0.0,1
北投區,房地(土地+建物),4.66,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,11.16,2,2,1,1,無,1100000,98566,,0.0,0,9.68,0.0,1.47,0
信義區,車位,0.66,一層,十九層,其他,一般零售業,鋼骨造,32.68,0,0,0,1,有,2900000,,坡道平面,32.69,2900000,0.0,0.0,0.0,1
內湖區,車位,0.39,地下層,五層,其他,見使用執照,鋼筋混凝土造,38.74,0,0,0,1,有,1600000,,坡道平面,38.74,1600000,0.0,0.0,0.0,0
文山區,車位,2.44,一層,十層,其他,商業用,鋼筋混凝土造,29.64,0,0,0,1,有,1700000,,坡道平面,29.65,1700000,0.0,0.0,0.0,1
北投區,土地,606.89,,,其他,,,0.0,0,0,0,1,無,19270000,31752,,0.0,0,0.0,0.0,0.0,0
信義區,房地(土地+建物),7.44,八層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,106.51,3,2,1,1,有,24300000,228148,,0.0,0,61.81,25.1,5.58,1
信義區,車位,1.15,五層,十四層,其他,一般事務所,鋼筋混凝土造,31.47,0,0,0,1,有,1000000,,坡道機械,0.0,1000000,0.0,0.0,0.0,1
南港區,土地,10943.0,,,其他,,,0.0,0,0,0,1,無,11916936,1089,,0.0,0,0.0,0.0,0.0,0
南港區,土地,10943.0,,,其他,,,0.0,0,0,0,1,無,11916936,1089,,0.0,0,0.0,0.0,0.0,0
中山區,房地(土地+建物)+車位,17.08,十層,十層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,95.61,2,1,1,1,有,17210000,247935,坡道平面,36.28,2500000,49.49,0.0,3.18,1
中山區,房地(土地+建物),1.64,三層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,18.46,1,1,1,1,有,3330000,180390,,0.0,0,14.23,0.0,0.0,1
中山區,房地(土地+建物),5.0,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,47.74,1,1,1,1,有,9800000,205279,,0.0,0,27.01,0.83,3.71,1
文山區,車位,1.19,一層,十四層,其他,一般事務所,鋼筋混凝土造,43.47,0,0,0,1,有,2350000,,坡道機械,43.46,0,0.0,0.0,0.0,1
文山區,房地(土地+建物),25.98,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,112.23,2,2,1,1,無,17650000,157266,,0.0,0,81.66,0.0,15.87,0
萬華區,房地(土地+建物),16.78,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,59.84,2,2,1,1,有,10880000,181818,,0.0,0,52.57,0.0,7.27,1
中山區,房地(土地+建物),2.67,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,6.76,1,1,1,1,無,1350000,199704,,0.0,0,6.76,0.0,0.0,0
